Mass,Age,Lbol,Rad,logAge,T/Tsun,Teff,logMass,logTeff,logLum
0.37,3.03,0.23,1.2,6.481442628502305,0.6321808498702935,3648.315684601464,-0.431798275933005,3.5620924102892486,-0.638272163982407
1.32,3.25,1.5,1.91,6.511883360978874,0.8007669332314197,4621.225971678523,0.1205739312058499,3.664757205448719,0.17609125905568124
0.67,3.49,0.52,1.41,6.54282542695918,0.7151403448497166,4127.074930127715,-0.17392519729917352,3.6156423538896725,-0.2839966563652008
0.36,0.29,1.36,2.93,5.4623979978989565,0.6308860389859586,3640.8433309879674,-0.44369749923271273,3.5612019912241624,0.13353890837021754
0.46,1.37,0.62,1.8,6.136720567156407,0.661396161078627,3816.917245584756,-0.3372421683184259,3.5817127441315733,-0.2076083105017461
0.56,1.03,1.04,2.13,6.012837224705172,0.6919401527482258,3993.1866215100113,-0.25181197299379954,3.601319607413989,0.01703333929878037
1.0,5.7,0.65,1.39,6.7558748556724915,0.7615894845932821,4395.132915587831,0.0,3.642972013342329,-0.1870866433571444
0.83,1.86,1.09,1.9,6.269512944217916,0.7412758030979091,4277.902659678033,-0.0809219076239261,3.631230898317404,0.03742649794062367
0.43,1.36,0.57,1.78,6.133538908370218,0.6512664600465026,3758.4587409283663,-0.36653154442041347,3.5750097870723385,-0.24412514432750865
0.3,1.74,0.31,1.56,6.2405492482825995,0.5974177533152856,3447.697854382513,-0.5228787452803376,3.53752919859,-0.5086383061657274
0.99,1.72,1.5,2.1,6.235528446907549,0.7636830779320728,4407.215042745992,-0.004364805402450088,3.6441642417056235,0.17609125905568124
0.28,1.0,0.63,2.23,6.0,0.5965992538127625,3442.974293753452,-0.5528419686577808,3.5369337801479777,-0.2006594505464183
0.81,1.91,1.02,1.85,6.281033367247727,0.7388634419548782,4263.980923521602,-0.09151498112135022,3.629815253047635,0.008600171761917567
0.54,1.31,0.78,1.89,6.117271295655764,0.6835853529196929,3944.971071699548,-0.2676062401770315,3.5960438228946607,-0.10790539730951959
0.83,4.82,0.54,1.34,6.68304703823885,0.7405357695589281,4273.6319261245735,-0.0809219076239261,3.630797115082001,-0.2676062401770315
0.54,2.61,0.44,1.42,6.416640507338281,0.6834692766779882,3944.3011957086696,-0.2676062401770315,3.595970071238681,-0.3565473235138126
0.67,1.03,1.5,2.39,6.012837224705172,0.7158530246380956,4131.18780518645,-0.17392519729917352,3.6160749385985143,0.17609125905568124
0.29,3.44,0.16,1.07,6.53655844257153,0.611417840515743,3528.492357616353,-0.5376020021010439,3.5475891811300393,-0.7958800173440752
0.65,0.97,1.53,2.43,5.986771734266245,0.7134601501686857,4117.378526623485,-0.1870866433571444,3.6146207952139062,0.1846914308175988
0.57,1.05,1.02,2.12,6.021189299069938,0.6902113751421152,3983.2098459451468,-0.24412514432750865,3.6002331867847666,0.008600171761917567
0.85,4.46,0.59,1.4,6.649334858712142,0.7407113254871297,4274.6450593862255,-0.07058107428570727,3.63090005938008,-0.22914798835785583
0.52,1.68,0.6,1.68,6.225309281725863,0.6790209466408775,3918.629883064504,-0.2839966563652008,3.593134246041642,-0.22184874961635637
0.56,0.62,1.93,2.91,5.7923916894982534,0.6909439727797123,3987.4376669117196,-0.25181197299379954,3.6006939070676527,0.2855573090077737
0.98,1.05,2.18,2.54,6.021189299069938,0.7624252399192212,4399.956059573826,-0.00877392430750515,3.643448339399845,0.3384564936046049
0.8,1.56,1.17,2.0,6.193124598354461,0.7354132792652023,4244.070034639482,-0.09691001300805639,3.6277825419132124,0.06818586174616162
0.47,1.62,0.54,1.66,6.209515014542631,0.6653411675055759,3839.6838776746786,-0.3279021420642826,3.5842954702443772,-0.2676062401770315
0.71,4.97,0.43,1.27,6.696356388733332,0.7185636659830663,4146.830916388276,-0.14874165128092473,3.617716327725581,-0.36653154442041347
0.37,0.86,0.93,2.42,5.9344984512435675,0.6312669525092276,3643.0415829307526,-0.431798275933005,3.561464128456931,-0.031517051446064856
0.6,3.44,0.42,1.33,6.53655844257153,0.6980499528847456,4028.446278097867,-0.22184874961635637,3.605137576424595,-0.37675070960209955
0.34,2.28,0.28,1.35,6.357934847000454,0.6260696105025017,3613.047722209937,-0.46852108295774486,3.5578736978967145,-0.5528419686577808
0.51,1.23,0.77,1.92,6.089905111439398,0.6760394923202883,3901.4239101803837,-0.2924298239020636,3.5912231412500084,-0.11350927482751812
0.69,2.78,0.64,1.56,6.444044795918076,0.7161148740394329,4132.698938081567,-0.16115090926274472,3.6162337686274038,-0.1938200260161128
0.56,0.85,1.26,2.37,5.929418925714293,0.6882060137147576,3971.6369051478664,-0.25181197299379954,3.5989695375830015,0.10037054511756291
1.86,5.85,6.18,2.55,6.767155866082181,0.987363409055476,5698.074233659152,0.26951294421791633,3.755728102863889,0.7909884750888159
0.56,2.15,0.54,1.55,6.332438459915605,0.6885454152964613,3973.595591675878,-0.25181197299379954,3.5991836651792593,-0.2676062401770315
1.08,1.29,2.1,2.42,6.110589710299249,0.7738328119929517,4465.789158011325,0.03342375548694973,3.649898215001927,0.3222192947339193
0.52,3.44,0.34,1.26,6.53655844257153,0.6802749149486237,3925.8665341685073,-0.2839966563652008,3.593935531010445,-0.46852108295774486
0.7,0.95,1.83,2.61,5.977723605288848,0.7199337256233992,4154.737530572636,-0.1549019599857432,3.6185435930721295,0.26245108973042947
0.53,1.48,0.69,1.79,6.1702617153949575,0.6812174388884231,3931.3058398250896,-0.27572413039921095,3.5945368315030297,-0.16115090926274472
1.31,1.0,3.44,2.93,6.0,0.7956201992150678,4591.524169670156,0.11727129565576427,3.6619568747744906,0.5365584425715302
0.69,6.76,0.33,1.12,6.8299466959416355,0.7161755225886886,4133.048940859321,-0.16115090926274472,3.616270547943044,-0.4814860601221125
0.28,0.81,0.66,2.3,5.9084850188786495,0.5943223545106887,3429.8343078811845,-0.5528419686577808,3.5352731401853337,-0.1804560644581313
1.38,9.27,1.47,1.56,6.967079734144497,0.8815907698289344,5087.66033268278,0.13987908640123647,3.706518108818476,0.16731733474817606
0.88,1.91,1.14,1.91,6.281033367247727,0.7476692668333268,4314.799338895129,-0.05551732784983137,3.634960603518917,0.05690485133647255
0.59,1.23,0.92,1.98,6.089905111439398,0.696008208713981,4016.663372488384,-0.22914798835785583,3.603865436014286,-0.03621217265444471
