TIC,Flagfit,Luminosity,E_Luminosity,e_Luminosity,Teff,E_Teff,e_Teff,Radius,E_Radius,e_Radius,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Age,E_Age,e_Age,Ageyr,e_Ageyr,E_Ageyr,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,logAge,logAge_err,logMass,logMass_err,logLum,logTeff
230082687,yes,6.01,0.25,0.21,4873.0,24.0,24.0,3.441,0.073,0.066,3.419,0.071,0.063,1.13,0.19,0.15,6.9,4.2,2.9,6900000000.0,2900000000.0,4200000000.0,2700000000.0,4000000000.0,2700000000.0,0.94,0.9799999999999999,0.94,9.838849090737256,0.16994131900562026,0.05307844348341968,-0.3013121658207925,0.7788744720027395,3.6877964113812944
233006795,yes,7.72,0.3,0.28,5145.0,25.0,25.0,3.495,0.066,0.063,3.475,0.051,0.077,1.33,0.15,0.21,3.7,3.2,1.2,3700000000.0,1200000000.0,3200000000.0,500000000.0,2500000000.0,500000000.0,1.1800000000000002,1.12,1.12,9.568201724066995,0.05868844350043943,0.12385164096708583,-0.3050237378521796,0.8876173003357362,3.7113853790984517
233719313,yes,2.27,0.16,0.13,5842.0,76.0,57.0,1.471,0.037,0.036,4.134,0.043,0.041,1.071,0.099,0.08,7.5,2.6,2.4,7500000000.0,2400000000.0,2600000000.0,4900000000.0,5100000000.0,4900000000.0,0.972,0.991,0.972,9.8750612633917,0.28373906151012446,0.029789470831855614,-0.32873356621463895,0.35602585719312274,3.766561552637531
233659603,yes,3.1,0.16,0.14,5462.0,36.0,32.0,1.964,0.046,0.044,3.903,0.03,0.032,1.125,0.068,0.065,7.4,1.3,1.1,7400000000.0,1100000000.0,1300000000.0,6100000000.0,6300000000.0,6100000000.0,1.057,1.06,1.057,9.869231719730976,0.3579995053526805,0.05115252244738129,-0.3403217626269624,0.4913616938342727,3.7373516958037145
219758529,yes,5.9,0.32,0.28,5349.0,48.0,41.0,2.828,0.066,0.066,3.668,0.033,0.046,1.356,0.083,0.11,3.39,1.0,0.39,3390000000.0,390000000.0,1000000000.0,2390000000.0,3000000000.0,2390000000.0,1.2730000000000001,1.246,1.246,9.530199698203083,0.3061840152651244,0.13225968953104458,-0.3328324101176484,0.7708520116421442,3.728272597895017
311236143,yes,8.35,0.46,0.41,5000.0,19.0,19.0,3.851,0.11,0.097,3.378,0.065,0.082,1.29,0.19,0.22,4.5,4.1,1.7,4500000000.0,1700000000.0,4099999999.9999995,400000000.0000005,2800000000.0,400000000.0000005,1.1,1.07,1.07,9.653212513775344,0.03860395394695575,0.11058971029924897,-0.30044247047164785,0.921686475483602,3.6989700043360187
232982638,yes,8.94,0.89,0.75,6060.0,160.0,150.0,2.71,0.12,0.11,3.728,0.04,0.044,1.432,0.072,0.075,2.83,0.31,0.29,2830000000.0,290000000.0,310000000.0,2520000000.0,2540000000.0,2520000000.0,1.3599999999999999,1.357,1.357,9.45178643552429,0.38672158812586377,0.1559430179718367,-0.34324489494774557,0.9513375187959177,3.782472624166286
233056745,yes,3.742,0.094,0.088,4947.0,23.0,24.0,2.633,0.036,0.034,3.626,0.056,0.046,1.07,0.14,0.1,8.4,3.5,2.8,8400000000.0,2800000000.0,3500000000.0,4900000000.0,5600000000.0,4900000000.0,0.93,0.9700000000000001,0.93,9.924279286061882,0.2533384477768969,0.029383777685209667,-0.3148229817668232,0.5731037831639911,3.694341910364181
441720157,yes,4.63,0.2,0.18,4974.0,16.0,17.0,2.897,0.061,0.059,3.567,0.057,0.057,1.13,0.15,0.13,6.8,3.9,2.4,6800000000.0,2400000000.0,3900000000.0,2900000000.0,4400000000.0,2900000000.0,0.9799999999999999,0.9999999999999999,0.9799999999999999,9.832508912706237,0.18521382316462207,0.05307844348341968,-0.314133960111039,0.6655809910179531,3.696705780933917
233745314,yes,7.25,0.52,0.47,5740.0,35.0,30.0,2.72,0.095,0.089,3.734,0.026,0.027,1.465,0.059,0.065,3.09,0.31,0.27,3090000000.0,270000000.0,310000000.0,2780000000.0,2820000000.0,2780000000.0,1.4060000000000001,1.4000000000000001,1.4000000000000001,9.489958479424836,0.3907244853369061,0.16583762469012828,-0.3461446854465861,0.8603380065709937,3.7589118923979736
232633718,yes,8.94,0.37,0.35,4942.0,21.0,22.0,4.077,0.085,0.082,3.311,0.07,0.079,1.24,0.21,0.2,5.0,4.2,2.1,5000000000.0,2100000000.0,4200000000.0,800000000.0,2900000000.0,800000000.0,1.03,1.04,1.03,9.698970004336019,0.06948711710452028,0.09342168516223506,-0.300872709161651,0.9513375187959177,3.6939027410660605
229590348,yes,4.51,0.28,0.24,6445.0,57.0,41.0,1.701,0.042,0.043,4.126,0.03,0.03,1.411,0.074,0.073,2.12,0.73,0.66,2120000000.0,660000000.0,730000000.0,1390000000.0,1460000000.0,1390000000.0,1.337,1.338,1.337,9.32633586092875,0.2847496838893962,0.14952701375434782,-0.3432192599512278,0.6541765418779605,3.809222921689422
