HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,Age,Age_err,logAge,logAge_err,logMass,logMass_err,logTeff,logLum
62172,5653,192,1.85,0.14,,,4487.0,5482.0,7392.0,4723.0,9034.0,68,2512.0,8913.0,95,71.0,1.06,1.04,5.5,1.0,1.1,68,1.0,1.2,95,5.9,1540828283470718848,6.2164150000000005,61486587.70168959,11292.618915784204,6.473201,35585647.33499119,22994.844758018644,5.8567595,36480792.02016258,42098.53751788894,23.972025,23.825476,24.118574,4547.0,236.0,236.0,0.040000000000000036,0.06000000000000005,0.040000000000000036,4487000000.0,236000000.0,9.651956069533075,0.02284232175822764,0.02530586526477026,0.016388471015217062,3.752278985460119,1.3797047219427014
62576,9955,338,4.1,0.14,199.0,0.0,152.0,185.0,278.0,112.0,398.0,68,27.0,460.0,95,364.0,2.22,2.21,2.2,2.1,2.3,68,2.0,2.5,95,2.38,3961830154846485760,5.739357,95412125.68242128,66151.96598652157,5.775555000000001,67660196.91498241,154059.03541349104,5.722736,41273730.05407094,278122.88924672524,,,,246.0,40.0,40.0,0.07999999999999963,0.1200000000000001,0.07999999999999963,152000000.0,40000000.0,8.181843587944773,0.1142880215534873,0.3463529744506387,0.015650251600117106,3.998041264363428,
62636,6632,225,4.42,0.14,,,1687.0,1964.0,2144.0,1142.0,4240.0,68,307.0,6879.0,95,41.0,1.27,1.26,1.27,1.2,1.4,68,1.1,1.5,95,1.28,3675611610095642240,6.8652143,33826774.68904203,8541.849885287715,7.1116867,19764259.66184682,20484.32474736498,6.5211177000000005,19784306.96766028,25132.83580477853,3.0872145,3.0762062,3.0982227000000004,2553.0,545.0,545.0,0.1299999999999999,0.07000000000000006,0.1299999999999999,1687000000.0,545000000.0,9.227115082589124,0.14030260381581044,0.10380372095595687,0.04445534066726196,3.821644517542217,0.48956680535836455
62922,6324,215,4.34,0.14,,,2110.0,2601.0,3117.0,1540.0,5957.0,68,325.0,7499.0,95,1997.0,1.15,1.15,1.13,1.1,1.2,68,1.0,1.3,95,1.17,3499125219150163072,8.302831,8999409.29313374,2757.294700834024,8.575244,5134019.939682122,8993.977884964297,7.912319,5493389.402352869,8686.430921952293,2.1298764,2.1180587,2.141694,3847.0,570.0,570.0,0.050000000000000044,0.04999999999999982,0.050000000000000044,2110000000.0,570000000.0,9.324282455297693,0.11732125814448034,0.06069784035361165,0.018882368778402266,3.8009918612601714,0.32835440139391864
62972,8014,272,4.24,0.14,,,859.0,882.0,879.0,762.0,1042.0,68,596.0,1223.0,95,534.0,1.9,1.89,1.86,1.7,2.0,68,1.6,2.2,95,1.68,1515555871265897344,6.194918599999999,62716065.05287514,19241.68897155632,6.318239,41044936.20907656,38086.266324206765,6.026814,31191936.98192665,39590.293873870505,13.6969595,13.6255665,13.7683525,183.0,97.0,97.0,0.10000000000000009,0.19999999999999996,0.10000000000000009,859000000.0,97000000.0,8.933993163831243,0.049041402496641934,0.2787536009528289,0.022857604310697485,3.903849338096681,1.1366241716145842
62983,9511,323,4.26,0.14,122.0,0.0,170.0,208.0,321.0,127.0,464.0,68,30.0,516.0,95,235.0,2.09,2.08,2.05,2.0,2.2,68,1.9,2.3,95,2.09,3529395598896680704,5.977308799999999,76634213.80845474,53623.50724697745,6.024191,53811972.58828624,126028.2758511158,5.925191000000001,34252443.18305819,242571.7025006381,,,,294.0,43.0,43.0,0.11000000000000032,0.08999999999999986,0.11000000000000032,170000000.0,43000000.0,8.230448921378274,0.10985095718729308,0.320146286111054,0.02285760431069753,3.978226181674526,
63099,6337,215,4.33,0.14,,,2487.0,2953.0,3302.0,1887.0,6262.0,68,473.0,7943.0,95,2055.0,1.17,1.16,1.13,1.1,1.2,68,1.0,1.3,95,1.18,3679210174214660992,7.51872,18529265.208970267,5529.09839133941,7.792565,10556726.630450768,17773.41395247079,7.1398387,11190063.111271868,21323.14076744629,2.074488,2.0665245,2.0824513,3775.0,600.0,600.0,0.030000000000000027,0.06999999999999984,0.030000000000000027,2487000000.0,600000000.0,9.395675785269937,0.10477550829994012,0.06818586174616162,0.011135755946237235,3.8018837071252394,0.3169109269698335
63151,7150,243,4.44,0.14,,,902.0,1136.0,1314.0,762.0,1856.0,68,173.0,2304.0,95,32.0,1.47,1.47,1.46,1.4,1.6,68,1.3,1.7,95,1.45,3524597879908969600,7.139139699999999,26283937.30096955,10212.380043184048,7.338878,16032598.392786035,28004.165071272,6.861278,14462945.804942995,53806.084728974696,4.527777700000001,4.504999,4.550555999999999,954.0,140.0,140.0,0.13000000000000012,0.07000000000000006,0.13000000000000012,902000000.0,140000000.0,8.955206537541942,0.06740712579429628,0.16731733474817606,0.03840699499824679,3.8543060418010806,0.6558850961763972
63155,6448,219,4.09,0.14,,,1680.0,2066.0,2548.0,1122.0,4732.0,68,244.0,6879.0,95,2623.0,1.19,1.19,1.18,1.1,1.3,68,1.0,1.4,95,1.33,3688877870719141120,7.263013000000001,23449909.5076595,57115.07012820813,7.1476274,19120726.28011528,1630305.0206881382,6.241943,25585318.24065962,443616.2269303777,,,,3052.0,558.0,558.0,0.1100000000000001,0.08999999999999986,0.1100000000000001,1680000000.0,558000000.0,9.225309281725863,0.1442478100607229,0.07554696139253074,0.04014486807509054,3.809425028797034,
63182,6612,225,3.99,0.14,,,1165.0,1416.0,1911.0,668.0,3548.0,68,150.0,5957.0,95,2179.0,1.23,1.23,1.21,1.1,1.3,68,1.1,1.4,95,1.46,6085891799999588864,7.217689999999999,24449517.44637689,191297.02170740685,6.8857822,24335618.60666915,193221.4602513569,6.306201000000001,24115021.85350429,86993.29524748183,,,,2383.0,497.0,497.0,0.07000000000000006,0.1299999999999999,0.07000000000000006,1165000000.0,497000000.0,9.066325925362039,0.18527412661452028,0.08990511143939793,0.024715946124575325,3.82033284489941,
